cheese,milk,country,type,texture,rind,color,flavor,aroma,vegetarian,vegan
257,4,35,80,93,2,15,297,299,0,0
738,4,77,67,171,10,15,94,92,0,0
164,4,77,67,280,2,16,132,250,1,0
1003,4,31,67,163,2,15,226,143,1,0
332,13,70,59,93,2,8,247,231,0,0
169,13,77,59,98,2,15,325,91,1,0
524,4,14,80,28,2,4,247,229,0,0
274,6,35,62,93,9,15,469,240,0,0
344,13,52,67,155,2,15,596,132,0,0
140,4,30,61,93,2,8,194,21,0,0
282,13,77,67,14,2,15,148,285,1,0
625,5,35,67,132,2,4,552,207,0,0
301,13,35,62,160,5,15,583,0,0,0
369,4,77,62,164,11,15,274,80,1,0
777,13,14,80,258,2,15,40,185,1,0
164,4,77,67,280,2,15,132,250,1,0
428,13,35,62,127,7,11,54,268,0,0
1055,13,50,62,279,1,15,359,71,0,0
162,4,14,80,29,2,15,7,251,0,0
762,4,27,63,216,9,11,441,263,0,0
349,4,35,80,160,2,15,151,127,1,0
122,0,52,31,250,10,11,290,54,0,0
63,4,14,55,19,7,11,93,1,0,0
525,4,14,61,28,10,8,93,250,1,0
505,13,52,61,160,7,15,145,136,0,0
528,6,52,67,142,6,14,6,99,0,0
655,4,77,61,267,2,8,596,291,0,0
56,13,35,80,127,2,11,399,183,0,0
249,18,78,61,285,7,6,596,268,1,0
480,4,19,61,176,0,15,232,285,1,0
1038,14,77,62,282,2,8,431,285,1,0
281,13,35,80,93,7,15,596,304,0,0
762,4,27,63,216,9,11,441,141,0,0
767,4,77,51,32,2,15,96,200,0,0
299,4,33,63,180,7,16,598,285,1,0
600,13,77,61,93,2,15,183,135,0,0
28,13,77,61,176,6,8,12,181,0,0
299,4,33,63,180,7,16,598,118,1,0
874,13,35,61,161,7,15,215,120,0,0
261,4,14,80,34,2,4,210,256,1,0
1009,18,30,62,168,6,15,469,291,1,0
555,4,77,62,160,2,11,483,274,0,0
270,4,14,80,26,2,4,147,127,1,0
258,4,14,80,34,2,4,266,256,0,0
486,5,31,67,162,2,15,243,152,1,0
655,4,77,61,267,2,11,596,291,0,0
184,4,74,74,32,10,11,173,256,0,0
928,4,27,70,93,2,15,247,228,0,0
703,4,40,59,161,7,8,492,256,1,0
259,4,35,67,160,2,14,472,70,0,0
989,4,77,80,131,1,15,187,145,0,0
263,4,35,62,113,6,15,152,240,0,0
374,4,14,53,19,7,4,277,109,0,0
422,4,14,80,26,2,8,93,279,0,0
734,4,77,48,286,2,15,106,241,0,0
778,4,35,61,93,10,15,153,37,0,0
367,19,52,51,175,2,15,303,25,0,0
831,4,77,62,93,9,11,161,285,0,0
778,4,35,61,93,10,16,101,38,0,0
1034,5,77,33,285,2,8,93,49,1,0
245,18,35,61,160,10,9,305,195,1,0
702,5,77,80,160,6,15,597,268,1,0
33,4,35,58,160,10,15,362,105,0,0
209,4,77,67,153,2,11,128,174,1,0
105,4,35,61,93,2,4,247,0,0,0
270,4,14,80,26,2,4,147,127,0,0
911,4,77,73,41,8,15,81,294,0,0
355,3,56,62,93,2,15,550,304,1,0
255,4,35,62,47,2,4,441,60,0,0
569,5,14,80,25,2,4,93,250,0,0
249,18,78,61,285,7,6,580,129,1,0
577,4,14,61,19,10,4,105,243,0,0
6,4,35,62,148,10,15,347,266,0,0
853,4,77,80,171,7,11,36,268,1,0
205,18,14,53,21,7,3,95,51,0,0
781,4,77,62,25,10,11,101,250,1,0
260,4,35,59,250,2,16,537,198,1,0
563,18,35,51,132,2,15,447,255,0,0
283,13,35,61,253,0,8,14,0,0,0
762,4,27,63,216,9,11,441,229,0,0
861,4,77,62,290,2,11,483,309,0,0
231,13,74,62,180,6,15,459,181,1,0
253,17,74,61,24,6,4,137,61,1,1
116,13,35,62,160,5,15,341,87,0,0
1002,4,33,62,160,6,15,81,127,1,0
517,4,14,80,173,2,4,248,141,0,0
209,4,77,67,153,2,11,128,255,1,0
382,4,78,61,268,7,15,252,291,1,0
355,3,56,62,93,2,15,550,285,1,0
209,4,77,67,153,2,11,128,290,1,0
209,4,77,67,153,2,11,128,141,1,0
505,4,52,61,160,10,15,145,136,0,0
233,13,35,62,250,2,15,0,127,0,0
729,18,77,59,93,2,8,211,304,1,0
734,4,77,48,286,2,15,106,241,1,0
696,4,50,62,160,10,11,333,0,0,0
205,4,14,53,21,7,3,95,51,1,0
674,13,4,14,171,1,15,294,127,0,0
17,4,35,61,160,10,9,345,267,0,0
932,4,35,80,113,2,8,165,285,0,0
781,4,77,62,25,10,11,101,250,0,0
1053,4,50,48,93,2,11,484,26,1,0
925,18,35,62,160,7,11,381,181,0,0
682,5,77,59,127,7,11,166,184,0,0
669,5,77,80,260,2,4,518,181,0,0
355,3,56,62,93,2,15,550,299,1,0
256,4,14,80,29,2,11,7,251,0,0
738,4,77,67,171,10,15,94,92,1,0
669,5,77,80,260,2,4,518,181,1,0
577,13,14,61,19,10,4,105,127,0,0
299,4,33,63,180,7,16,598,127,1,0
520,4,77,67,43,6,8,114,100,1,0
886,4,35,61,93,10,11,222,304,0,0
726,4,77,80,225,1,15,560,291,1,0
397,4,35,79,169,10,11,369,38,0,0
869,13,77,67,115,2,15,145,221,0,0
257,4,35,80,93,2,16,297,299,1,0
184,4,74,74,32,2,11,572,35,1,0
398,13,35,61,176,10,15,247,132,1,0
674,13,4,14,171,1,15,294,127,1,0
568,4,5,62,52,10,8,247,279,1,0
864,4,77,62,285,2,11,559,124,1,0
565,13,14,61,160,1,8,42,181,0,0
703,4,40,59,161,7,8,492,256,0,0
415,4,77,61,285,2,11,324,171,1,0
896,4,35,67,27,2,11,111,285,0,1
1038,14,77,62,282,2,15,431,285,1,0
886,4,35,61,93,10,11,222,284,0,0
886,4,35,61,93,10,11,222,269,1,0
896,4,35,67,27,2,11,111,285,1,0
1093,13,77,62,116,2,8,288,67,1,0
256,4,14,80,29,2,11,7,251,1,0
95,13,77,80,93,1,15,16,87,1,0
998,17,74,61,286,6,15,313,87,1,1
50,4,14,54,292,10,4,330,90,0,0
667,4,77,62,160,2,11,486,285,1,0
846,4,52,61,67,1,11,565,35,0,0
63,13,14,55,19,7,11,93,1,0,0
886,4,35,61,93,10,11,222,191,1,0
896,4,35,67,27,2,11,111,285,0,0
299,4,33,63,180,7,16,598,268,1,0
692,4,4,80,93,6,11,143,290,1,0
803,18,52,48,90,7,15,478,10,1,0
334,18,70,61,269,3,11,201,250,1,0
905,18,77,14,143,7,15,534,141,1,0
810,18,52,48,107,7,11,210,290,0,0
431,18,52,21,49,7,14,359,38,0,0
1007,18,77,39,76,7,11,173,304,0,0
1007,18,77,39,76,7,11,173,245,1,0
494,18,52,39,67,7,11,533,299,0,0
108,18,77,39,132,11,15,296,127,1,0
1100,18,67,1,180,3,8,167,49,0,0
804,18,52,39,67,7,8,580,9,0,0
104,18,65,48,179,10,11,414,181,1,0
661,18,52,21,83,7,11,409,210,0,0
821,18,52,48,75,7,4,566,272,0,0
104,18,65,48,179,10,11,414,239,1,0
813,18,52,21,205,7,14,332,8,1,0
830,18,52,62,285,7,11,506,57,1,0
431,18,52,21,49,7,14,359,38,1,0
764,18,35,39,124,7,8,321,140,0,0
1011,18,77,2,67,7,8,598,206,1,0
829,18,52,21,225,5,15,129,98,0,0
1100,18,67,1,180,3,8,167,49,1,0
826,18,52,21,207,10,15,316,284,0,0
809,18,52,39,207,7,15,473,256,1,0
798,18,52,48,44,7,15,159,277,1,0
830,18,52,62,285,7,11,129,285,0,0
334,18,70,61,269,7,11,208,127,0,0
811,18,52,62,160,7,8,529,229,1,0
811,18,52,62,160,2,8,529,229,0,0
802,18,52,48,279,1,15,581,145,1,0
811,18,52,62,160,8,8,529,229,1,0
828,18,52,48,280,5,14,418,23,0,0
806,18,52,21,205,7,8,259,5,1,0
813,18,52,21,205,7,14,332,8,0,0
167,18,74,20,60,7,11,592,309,1,0
945,18,77,21,130,7,14,79,85,1,0
822,18,52,21,250,3,4,565,199,0,0
421,20,22,21,221,7,11,342,0,0,0
113,18,63,20,206,7,15,506,280,0,0
830,18,52,62,285,7,11,414,78,1,0
322,18,52,21,252,7,11,417,207,0,0
267,18,35,48,127,2,15,199,207,1,0
804,18,52,39,67,7,8,580,9,1,0
104,18,65,48,179,10,11,414,127,1,0
830,18,52,62,285,7,11,281,172,0,0
840,18,52,39,138,7,14,546,299,0,0
800,18,52,48,161,7,15,294,5,0,0
247,18,35,39,147,7,8,449,87,0,0
795,18,23,21,206,7,16,535,268,0,0
797,18,52,20,93,7,11,533,127,0,0
827,18,52,20,81,10,15,316,281,0,0
113,18,63,20,206,7,15,506,118,0,0
104,18,65,48,179,10,11,414,165,1,0
146,18,77,45,279,10,11,343,181,0,0
805,18,52,39,207,5,15,322,149,1,0
113,18,63,20,206,7,14,506,285,0,0
805,18,52,39,207,5,15,322,149,0,0
812,18,52,48,91,5,14,411,38,1,0
421,20,22,21,221,7,15,506,0,1,0
800,18,52,48,161,7,15,294,5,1,0
776,18,52,38,86,7,11,206,191,0,0
981,19,52,48,113,7,8,99,158,0,0
811,18,52,62,160,7,8,529,229,0,0
825,18,52,48,160,7,15,476,249,1,0
334,18,70,61,269,2,11,596,304,1,0
811,18,52,62,160,9,8,529,229,1,0
823,18,52,48,279,5,15,418,23,0,0
550,18,67,20,37,7,10,401,196,1,0
830,18,52,62,285,7,11,0,268,1,0
824,18,52,39,18,7,16,216,33,1,0
643,18,70,20,88,9,11,149,304,1,0
334,18,70,61,269,11,11,164,287,1,0
801,18,52,39,68,7,15,68,107,1,0
814,18,52,34,138,7,8,591,299,1,0
267,18,35,48,127,7,15,199,207,0,0
83,18,35,21,263,10,11,450,127,0,0
812,18,52,48,91,5,14,411,38,0,0
287,19,52,14,54,9,15,446,142,0,0
133,18,77,39,94,9,6,480,243,0,0
824,18,52,39,18,7,16,216,33,0,0
641,18,70,34,259,7,14,164,152,0,0
167,18,74,20,60,7,11,161,309,1,0
300,20,60,14,250,7,11,252,0,1,0
475,18,50,21,254,8,11,454,127,1,0
820,18,52,39,75,7,14,513,304,0,0
133,18,77,39,94,9,11,480,243,0,0
607,18,52,48,68,7,14,295,0,0,0
334,18,70,61,269,7,11,531,290,0,0
798,18,52,48,44,7,15,159,277,0,0
1051,18,30,47,62,10,12,435,42,0,0
113,18,63,20,206,7,15,506,126,0,0
475,18,50,21,254,8,11,454,293,1,0
334,18,70,61,269,7,11,419,6,0,0
799,18,52,39,180,7,15,595,276,1,0
643,18,70,20,88,10,11,149,268,0,0
797,18,52,20,93,2,11,572,239,0,0
311,19,52,38,67,9,8,596,2,0,0
732,19,52,48,54,7,15,578,273,0,0
809,18,52,39,207,7,15,473,256,0,0
815,18,52,39,213,7,8,353,166,1,0
811,18,52,62,160,1,8,529,229,1,0
808,18,52,39,279,7,15,582,146,0,0
146,18,77,45,279,10,11,343,89,1,0
1007,18,77,39,76,7,11,173,191,0,0
607,18,52,48,68,7,14,295,0,1,0
811,18,52,62,160,6,8,529,229,1,0
819,18,52,38,160,7,11,441,256,0,0
267,18,35,48,127,1,15,199,207,1,0
820,18,52,39,75,7,14,513,304,1,0
828,18,52,48,280,5,14,418,23,1,0
803,18,52,48,90,7,15,478,10,0,0
811,18,52,62,160,0,8,529,229,0,0
300,20,60,14,250,7,11,252,0,0,0
822,18,52,21,250,7,4,565,199,0,0
104,18,65,48,179,10,11,414,304,1,0
807,18,52,39,56,7,10,351,176,0,0
104,18,65,48,179,10,11,414,9,1,0
104,18,65,48,179,10,11,414,250,1,0
426,18,52,21,264,1,8,395,214,1,0
104,18,65,48,179,10,11,414,0,1,0
819,18,52,38,160,11,11,441,256,0,0
817,18,52,39,75,7,8,580,276,0,0
806,18,52,21,205,7,8,259,5,0,0
1007,18,77,39,76,7,11,173,299,0,0
381,18,78,38,11,9,4,488,249,0,0
821,18,52,48,75,7,4,566,272,1,0
818,18,52,20,207,7,11,536,304,0,0
819,18,52,38,160,3,11,441,256,0,0
378,18,77,39,250,7,11,597,309,0,0
430,18,52,39,17,7,14,562,38,0,0
797,18,52,20,93,9,11,192,140,0,0
816,18,52,47,279,7,15,580,304,0,0
840,18,52,39,138,7,14,546,299,1,0
822,18,52,21,250,0,4,565,199,0,0
808,18,52,39,279,7,15,582,146,1,0
475,18,50,21,254,8,11,454,253,1,0
668,18,49,38,67,9,11,207,218,0,0
167,18,74,20,60,7,11,312,309,1,0
378,18,77,39,250,7,11,597,309,1,0
830,18,52,62,285,7,11,380,127,0,0
104,18,65,48,179,10,11,414,249,1,0
267,18,35,48,127,10,15,199,207,0,0
1007,18,77,39,76,7,11,173,11,1,0
797,18,52,20,93,10,11,473,127,0,0
509,18,52,20,93,10,9,472,0,1,0
421,20,22,21,221,7,4,390,0,0,0
815,18,52,39,213,7,8,353,166,0,0
795,18,23,21,206,7,16,535,268,1,0
810,18,52,48,107,7,11,210,290,1,0
764,18,35,39,124,7,8,321,140,1,0
817,18,52,39,75,7,8,580,276,1,0
718,4,52,34,93,7,16,562,304,0,0
163,6,77,39,93,10,16,261,228,0,0
909,4,77,44,93,7,14,255,294,1,0
190,4,50,47,93,7,6,583,84,0,0
265,4,77,39,180,9,11,579,299,1,0
54,14,65,38,93,9,16,458,285,0,0
220,4,61,21,199,11,16,354,33,0,0
725,13,77,39,227,10,8,168,20,0,0
29,6,61,20,181,11,16,144,285,1,0
453,4,50,20,250,10,8,596,217,1,0
535,13,77,39,93,7,11,441,181,1,0
29,6,61,20,181,11,16,352,285,0,0
1012,9,77,33,11,7,16,506,104,0,0
878,9,64,39,147,7,11,572,294,0,0
190,4,50,47,93,7,6,583,181,0,0
484,4,58,13,176,9,15,52,11,0,0
843,4,77,39,76,7,16,451,127,1,0
688,13,45,20,112,9,8,179,181,0,0
859,4,61,20,210,11,6,175,55,0,0
587,4,61,39,250,11,16,591,0,0,0
163,6,77,39,93,10,16,210,246,0,0
948,13,35,20,250,7,8,503,4,0,0
948,13,35,20,92,7,4,503,229,0,0
671,6,77,38,123,11,8,381,268,1,0
948,13,35,20,250,7,15,503,304,0,0
717,4,52,34,93,7,11,371,304,0,0
787,4,61,21,130,8,11,107,284,0,0
54,14,65,38,160,7,15,596,78,0,0
717,4,52,34,93,7,5,371,304,0,0
102,4,47,13,237,7,6,306,83,1,0
190,4,50,47,93,7,6,583,304,0,0
1097,4,72,39,263,11,15,488,263,0,0
548,18,62,20,228,11,8,82,239,1,0
172,13,61,38,190,8,8,589,304,0,0
57,14,65,34,250,11,16,0,229,0,0
160,4,52,47,160,8,11,136,268,0,0
111,6,54,14,116,9,15,140,127,0,0
29,6,61,20,181,11,16,131,285,0,0
1070,13,77,39,180,7,4,598,235,1,0
620,4,31,39,148,10,3,488,285,1,0
110,4,52,1,67,7,11,354,285,0,0
491,4,68,39,160,10,14,578,284,1,0
533,13,77,39,93,7,8,441,181,1,0
713,13,77,39,9,10,6,314,283,0,0
57,14,65,34,225,9,16,0,145,0,0
29,6,61,20,181,11,16,341,285,0,0
92,4,52,20,82,7,16,368,279,0,0
743,4,30,38,93,11,5,588,299,1,0
57,14,65,34,205,10,16,0,253,0,0
951,4,65,38,55,7,6,591,11,0,0
172,13,61,38,250,7,14,589,304,0,0
620,4,31,39,148,10,3,488,299,1,0
487,4,72,21,93,7,4,297,294,1,0
948,13,35,20,247,7,15,503,78,0,0
684,4,63,39,180,7,11,497,0,0,0
163,6,77,39,93,10,16,497,76,0,0
948,13,35,20,259,7,14,503,95,0,0
580,4,61,38,148,7,15,455,157,1,0
350,13,77,21,93,6,8,173,256,1,0
581,4,77,39,93,9,11,210,0,1,0
451,13,77,39,255,7,8,509,220,1,0
163,6,77,39,93,10,16,199,160,1,0
623,4,61,38,151,9,11,154,158,0,0
1014,17,74,33,158,9,11,500,234,1,1
4,4,35,38,237,10,8,406,0,0,0
951,4,65,38,55,7,6,591,268,0,0
153,4,61,20,218,7,16,379,285,0,0
66,4,48,38,84,8,16,356,228,1,0
433,13,50,21,255,8,11,319,190,1,0
102,4,47,13,59,7,15,51,287,1,0
1097,4,72,39,263,11,8,488,263,0,0
154,4,61,38,132,7,16,149,66,0,0
487,4,72,21,93,7,4,297,191,0,0
684,4,63,39,180,9,15,497,0,0,0
241,13,50,20,94,7,8,311,43,1,0
948,13,35,20,59,7,14,503,228,0,0
534,13,77,39,93,7,8,553,181,1,0
620,4,31,39,148,10,3,488,154,1,0
54,14,65,38,248,7,9,588,127,0,0
4,4,35,38,237,10,8,234,0,0,0
366,4,50,21,185,11,16,22,171,1,0
163,6,77,39,93,10,16,596,78,1,0
587,4,61,39,250,0,16,591,0,0,0
717,4,52,34,93,7,6,371,304,0,0
951,4,65,38,55,7,6,591,245,0,0
718,4,52,34,93,7,11,562,304,0,0
57,14,65,34,160,3,16,0,164,0,0
163,6,77,39,93,10,16,231,254,0,0
594,4,77,48,160,7,11,164,285,0,0
156,4,61,38,148,7,16,359,285,0,0
472,4,77,39,69,7,4,173,245,1,0
859,4,61,20,210,11,6,175,6,0,0
1019,4,77,39,74,7,11,231,127,1,0
587,4,61,39,250,10,16,591,0,0,0
948,13,35,20,82,7,4,503,33,0,0
837,4,43,20,171,7,15,118,285,1,0
620,4,31,39,148,10,3,488,253,1,0
453,4,50,20,250,2,16,596,33,1,0
948,13,35,20,279,7,15,503,105,0,0
948,13,35,20,93,7,11,503,127,0,0
4,4,35,38,237,10,8,544,0,0,0
366,4,50,21,185,11,16,22,304,1,0
948,13,35,20,244,7,15,503,27,0,0
54,14,65,38,290,10,15,211,127,0,0
1064,4,52,39,20,7,4,496,144,1,0
366,4,50,21,185,11,16,22,127,1,0
948,13,35,20,93,7,15,503,127,0,0
717,4,52,34,93,7,8,371,304,0,0
620,4,31,39,148,10,3,488,116,1,0
859,4,61,20,210,11,6,175,253,1,0
472,4,77,39,69,7,15,173,256,0,0
718,4,52,34,93,7,8,562,304,0,0
948,13,35,20,132,7,15,503,87,0,0
843,4,77,39,76,7,16,451,256,0,0
718,4,52,34,93,7,15,562,304,0,0
29,6,61,20,181,11,16,450,285,1,0
54,14,65,38,250,7,11,28,93,0,0
836,6,70,39,121,7,11,1,38,0,0
859,4,61,20,210,11,6,175,164,1,0
29,6,61,20,181,11,16,500,285,0,0
29,6,61,20,181,11,16,118,285,1,0
4,4,35,38,237,10,8,244,0,0,0
175,4,40,38,149,7,11,125,0,0,0
29,6,61,20,181,11,16,442,285,0,0
472,4,77,39,69,7,16,173,304,1,0
472,4,77,39,69,7,15,173,164,0,0
1056,13,50,14,73,6,15,219,128,0,0
787,4,61,21,130,8,11,107,115,1,0
171,13,61,38,245,5,8,282,228,0,0
1060,13,50,21,77,11,4,507,127,0,0
1097,5,72,39,263,11,4,488,263,0,0
859,4,61,20,210,11,6,175,304,0,0
54,14,65,38,279,2,8,41,58,0,0
185,13,61,21,250,11,15,81,87,0,0
859,4,61,20,210,11,6,175,218,0,0
175,4,40,38,149,7,11,125,119,0,0
1027,6,61,20,35,11,3,591,294,0,0
175,4,40,38,149,7,11,125,294,0,0
185,13,61,21,250,11,15,240,0,0,0
718,4,52,34,93,7,4,562,304,0,0
580,4,61,38,148,7,15,455,304,1,0
4,4,35,38,237,10,8,198,0,0,0
837,4,43,20,144,8,15,118,6,1,0
456,13,50,21,94,7,4,449,93,1,0
102,4,47,13,80,10,11,598,38,1,0
29,6,61,20,181,11,16,474,285,0,0
4,4,35,38,237,10,8,185,0,0,0
684,4,63,39,180,7,6,497,0,0,0
1060,13,50,21,77,11,4,507,89,0,0
472,4,77,39,69,7,16,173,127,1,0
175,4,40,38,149,7,11,125,259,0,0
684,4,63,39,180,5,7,497,0,0,0
54,14,65,38,160,6,15,488,182,0,0
185,13,61,21,250,11,16,589,87,0,0
320,4,50,39,171,11,14,76,265,0,0
172,13,61,38,180,7,11,589,304,0,0
1019,4,77,39,74,7,11,231,19,0,0
909,4,77,44,93,7,14,255,294,0,0
190,4,50,47,93,7,6,583,255,0,0
185,13,61,21,250,11,8,481,137,0,0
102,4,47,13,160,7,4,488,77,1,0
1027,6,61,20,35,11,3,454,294,0,0
171,13,61,38,186,2,5,574,293,0,0
684,4,63,39,180,3,16,497,0,0,0
927,4,72,27,7,7,11,336,304,0,0
1020,4,77,21,196,7,11,514,219,1,0
855,4,52,39,160,7,8,445,230,0,0
269,4,52,38,255,7,8,352,246,0,0
958,4,77,21,198,7,16,437,304,1,0
128,4,52,2,180,7,8,0,174,0,0
464,4,57,21,189,9,15,549,145,0,0
1075,4,77,21,205,7,4,536,256,1,0
395,4,77,38,270,10,8,568,305,0,0
512,4,61,21,188,11,9,70,256,1,0
161,4,52,21,206,7,15,359,33,1,0
516,4,72,20,11,7,11,101,294,0,0
1044,18,30,20,250,7,11,488,25,1,0
902,9,61,20,187,7,16,504,181,0,0
953,4,52,39,93,7,8,247,207,1,0
516,4,72,20,11,9,11,498,294,0,0
51,4,72,20,219,7,6,404,285,0,0
476,4,52,21,219,7,6,61,17,0,0
1044,18,30,20,250,7,11,488,299,1,0
27,4,77,20,20,9,6,212,103,1,0
516,4,72,20,11,7,11,265,294,1,0
959,4,77,21,5,7,14,494,299,1,0
856,4,77,21,225,7,11,374,245,0,0
904,4,61,20,184,7,16,562,191,1,0
1096,18,30,20,278,0,16,582,117,1,0
464,4,57,21,189,9,15,549,191,1,0
876,4,77,39,218,10,6,223,40,0,0
195,4,77,21,186,3,16,175,87,0,0
697,18,30,21,195,7,11,576,228,1,0
979,4,77,21,182,7,16,171,175,1,0
786,4,52,21,230,7,14,532,262,0,0
1085,4,52,14,147,7,11,305,307,0,0
956,4,77,21,82,7,11,250,279,1,0
854,4,52,21,217,7,11,282,310,0,0
1096,18,30,20,278,6,16,582,117,1,0
275,13,77,21,180,7,11,413,304,0,0
964,4,77,21,206,7,6,172,65,1,0
993,18,0,20,269,6,16,133,181,0,0
1073,4,77,39,250,7,11,541,304,1,0
1020,4,77,21,196,7,11,514,304,1,0
1074,4,77,21,194,7,11,505,0,1,0
903,4,61,20,183,7,16,554,9,1,0
993,18,0,20,250,9,15,87,38,0,0
126,13,52,38,199,10,15,376,167,0,0
464,4,57,21,189,9,15,549,87,0,0
155,4,61,20,6,7,6,78,0,0,0
337,14,52,21,229,7,14,359,300,0,0
70,5,57,38,199,7,15,538,304,0,0
697,18,30,21,195,7,11,48,228,1,0
1096,18,30,20,278,7,16,582,117,1,0
242,4,52,20,250,7,11,532,66,0,0
982,4,77,39,180,7,11,380,304,1,0
708,9,77,39,204,8,11,150,191,0,0
1044,18,30,20,250,7,11,488,129,1,0
444,4,35,39,225,7,11,306,273,1,0
854,4,52,21,217,7,15,207,16,0,0
128,4,52,2,180,7,8,23,174,0,0
901,4,61,20,183,7,11,371,285,0,0
242,4,52,20,250,7,11,532,228,0,0
304,4,77,21,205,7,16,493,97,0,0
902,18,61,20,187,7,16,504,78,0,0
953,4,52,39,93,7,8,247,207,0,0
70,5,57,38,199,2,15,538,304,0,0
98,4,67,20,16,7,9,577,173,0,0
1065,4,77,21,80,7,11,511,271,1,0
956,4,77,21,82,7,15,250,279,1,0
70,5,57,38,199,4,15,538,304,0,0
337,14,52,21,229,4,14,359,300,0,0
900,4,61,20,184,7,16,371,292,0,0
159,4,77,39,94,7,11,562,279,0,0
902,4,61,20,187,7,16,504,42,1,0
242,4,52,20,250,7,11,532,5,0,0
857,4,52,21,226,7,6,504,219,1,0
970,4,77,21,93,7,11,305,291,1,0
128,4,52,2,180,7,8,505,174,0,0
242,4,52,20,250,7,11,532,285,0,0
1096,18,30,20,278,9,16,582,117,1,0
1074,4,77,21,194,7,11,505,284,1,0
464,4,57,21,189,9,15,549,161,1,0
960,4,77,39,225,9,11,221,129,1,0
337,14,52,21,229,2,14,359,300,0,0
1044,18,30,20,250,7,11,488,283,1,0
516,4,72,20,11,8,11,598,294,0,0
697,18,30,21,195,7,11,385,228,1,0
954,4,2,20,200,7,11,373,127,0,0
7,4,35,38,285,10,11,545,256,0,0
697,18,30,21,195,7,11,342,228,1,0
516,4,72,20,11,7,11,589,294,0,0
128,4,52,2,180,7,8,210,174,0,0
516,4,72,20,11,1,11,133,294,0,0
993,18,0,20,206,9,15,503,285,0,0
304,4,77,21,205,7,16,493,304,0,0
128,4,52,2,180,7,8,572,174,0,0
901,4,61,20,183,7,11,371,285,1,0
876,4,77,39,218,10,6,223,42,0,0
94,4,52,20,67,7,11,553,275,0,0
954,4,2,20,200,7,11,373,194,0,0
854,4,52,21,217,7,15,7,0,0,0
128,4,52,2,180,7,8,597,174,1,0
900,4,61,20,184,7,16,371,290,1,0
876,4,77,39,218,10,6,223,154,0,0
516,4,72,20,11,7,11,455,294,1,0
903,4,61,20,183,7,16,554,309,1,0
903,4,61,20,183,7,16,554,217,0,0
242,4,52,20,250,7,11,532,60,0,0
242,4,52,20,250,7,11,532,290,0,0
1096,18,30,20,278,10,16,582,117,1,0
200,4,19,61,180,0,16,554,87,1,0
993,18,0,20,181,10,15,443,279,0,0
858,4,52,21,193,7,16,337,287,1,0
1020,4,77,21,196,7,11,514,149,1,0
858,4,52,21,193,7,16,337,245,1,0
856,4,72,21,225,7,11,374,245,1,0
903,4,61,20,183,7,16,554,115,0,0
958,4,77,21,198,7,16,437,285,1,0
855,4,52,39,160,7,8,445,230,1,0
902,13,61,20,187,7,16,504,78,0,0
200,4,19,61,180,0,16,554,127,1,0
858,4,52,21,193,7,16,337,228,1,0
993,18,0,20,11,7,5,595,42,0,0
854,4,52,21,217,7,11,133,111,0,0
1074,4,77,21,194,7,11,505,304,1,0
1044,18,30,20,250,7,11,488,141,1,0
854,4,52,21,217,7,8,133,246,0,0
854,4,52,21,217,7,15,596,0,1,0
444,4,35,39,225,7,11,335,132,0,0
856,4,61,21,225,7,11,374,245,0,0
854,4,52,21,217,7,6,394,309,1,0
697,18,30,21,195,7,11,433,228,1,0
876,4,77,39,218,10,6,223,6,0,0
1074,4,77,21,194,7,11,505,256,1,0
1020,4,77,21,196,7,11,514,76,1,0
200,4,19,61,180,0,16,554,132,1,0
128,4,52,2,180,7,8,14,174,1,0
876,4,77,39,218,10,6,223,127,0,0
993,18,0,20,113,10,16,125,209,0,0
516,4,72,20,11,9,11,259,294,0,0
858,4,52,21,193,7,16,337,0,0,0
858,4,52,21,193,7,16,337,29,1,0
516,4,72,20,11,2,11,341,294,0,0
954,4,2,20,200,7,11,373,299,0,0
833,13,35,61,250,9,11,54,145,0,0
507,4,35,62,274,6,14,574,285,0,0
330,13,77,48,31,2,15,294,123,0,0
598,13,77,80,117,6,15,184,138,0,0
582,4,77,80,175,6,11,359,304,1,0
647,4,52,48,224,7,11,81,122,0,0
436,4,35,62,93,2,8,347,33,0,0
666,4,4,67,53,2,11,265,253,1,0
992,4,70,62,284,7,11,58,268,0,0
218,4,77,62,113,7,8,323,228,1,0
611,4,77,59,250,6,15,149,285,0,0
19,4,70,62,279,3,4,589,268,0,0
839,4,77,62,290,9,8,297,69,1,0
1088,4,40,59,171,7,15,365,16,1,0
19,4,70,62,279,3,6,589,251,0,0
897,4,77,59,134,2,4,211,285,0,0
443,4,14,67,13,2,11,105,242,0,0
689,14,77,48,152,2,4,487,42,0,0
765,13,35,62,290,5,15,596,181,0,0
790,13,77,61,279,9,15,240,132,0,0
514,4,35,62,279,7,15,596,268,0,0
507,4,35,62,274,6,14,574,88,0,0
1021,13,77,62,285,1,8,589,78,1,0
329,4,14,80,172,2,8,153,11,0,0
352,13,77,62,113,5,11,207,13,0,0
570,4,35,80,280,10,8,100,292,0,0
240,4,35,61,160,7,11,336,299,0,0
474,4,31,67,19,2,11,210,250,0,0
737,4,77,62,171,2,8,259,71,1,0
19,4,70,62,279,3,8,589,250,0,0
586,4,14,80,170,2,4,222,185,0,0
790,13,77,61,279,7,15,240,132,1,0
955,13,70,48,11,3,15,208,239,0,0
559,13,77,62,171,1,15,307,11,0,0
